25
0 9 5
0 12 9
0 11 5
0 15 4
0 1 4
0 4 10
0 6 6
0 18 6
0 14 7
0 2 1
0 10 9
0 23 7
0 16 1
0 5 3
0 22 6
0 17 8
0 0 10
0 7 6
0 8 6
0 19 3
0 21 5
0 20 2
1 18 1
1 19 4
1 0 1
1 17 2
1 8 8
1 24 1
1 16 5
1 10 3
1 11 5
1 13 0
1 12 0
1 14 3
1 2 8
1 9 3
1 6 1
1 1 4
1 3 1
1 21 6
1 23 3
1 7 1
1 4 4
1 22 3
1 15 7
1 20 2
1 5 3
2 21 2
2 5 10
3 24 10
3 13 5
3 7 8
3 23 8
3 12 7
3 4 0
3 2 0
3 20 10
3 8 5
4 2 6
4 24 4
4 3 3
4 18 10
4 19 3
4 22 4
4 21 2
4 6 7
4 23 0
4 13 4
4 12 7
4 16 9
4 11 7
4 20 9
4 1 10
4 5 5
4 4 6
4 10 10
4 7 6
4 8 9
4 17 3
4 0 6
5 18 6
5 11 1
5 5 6
5 12 3
5 15 6
5 0 6
6 7 7
6 14 4
6 11 5
6 16 3
6 8 4
6 13 3
6 4 0
6 15 1
6 24 5
6 10 4
6 12 4
6 9 6
6 2 9
6 5 5
6 3 0
6 1 2
7 16 8
7 15 8
7 10 3
7 11 1
7 5 0
7 23 8
7 13 4
7 6 7
7 3 5
7 1 8
7 9 7
7 17 5
7 4 8
7 24 8
7 21 4
7 18 9
7 7 9
7 19 6
7 22 0
7 12 6
7 20 8
7 14 0
7 8 10
7 2 7
7 0 7
8 2 7
8 11 6
8 16 0
8 24 9
8 9 1
8 18 2
8 14 6
8 20 3
8 8 0
8 1 3
8 22 0
8 10 4
8 12 3
8 4 2
8 21 3
8 6 5
8 17 1
8 3 10
8 13 7
8 5 5
9 19 7
9 22 0
9 0 9
10 24 10
10 10 6
10 17 7
10 11 3
10 15 0
10 12 5
10 7 2
10 3 1
10 9 5
10 23 6
10 14 5
10 2 7
10 5 7
10 8 4
10 4 3
10 16 8
10 6 7
10 13 2
10 20 10
10 21 10
10 19 8
10 1 10
10 18 7
10 0 8
11 24 8
11 10 2
11 6 5
11 9 8
11 0 6
11 2 3
11 14 7
11 22 5
11 15 6
11 17 1
11 7 10
11 16 10
12 6 3
13 3 1
13 9 3
13 19 3
13 17 9
14 9 5
14 11 6
14 4 1
14 23 7
14 17 3
14 7 6
14 8 2
14 2 2
14 12 2
14 21 1
14 14 10
15 17 1
15 10 8
15 24 5
15 3 6
15 23 2
15 18 2
15 6 3
15 21 0
15 4 6
15 13 9
15 9 2
15 15 8
15 0 2
15 8 3
16 16 2
16 8 3
16 11 3
16 14 9
16 10 0
16 22 9
16 17 7
16 3 4
16 2 7
16 4 6
16 21 1
16 13 7
16 20 7
16 12 9
16 0 2
16 7 8
16 6 8
16 1 0
17 14 8
17 17 9
17 1 3
17 21 9
17 8 10
17 3 7
17 22 3
17 18 10
17 10 7
17 0 6
17 5 9
17 16 3
17 15 3
17 20 5
17 13 0
18 22 2
18 0 5
18 19 6
18 18 2
18 21 8
18 24 5
18 9 0
18 17 4
18 1 7
18 11 7
18 3 7
19 1 0
19 20 9
20 7 0
20 9 4
21 21 6
21 9 0
22 18 0
22 9 3
22 21 7
22 15 5
22 22 9
22 24 4
22 10 7
22 4 9
22 20 10
22 14 4
23 23 1
23 8 1
23 15 6
23 13 7
23 0 0
23 9 3
23 4 3
23 16 2
23 22 7
23 3 3
24 5 10
24 9 9
24 13 3
24 20 1
24 15 5
24 7 8
24 11 1
24 3 5
24 17 1
24 23 9
24 22 6
24 1 4
24 10 6
24 12 10
24 14 10
24 24 3
24 8 5
24 18 6
24 21 8
24 2 6
24 4 1
